gene,logfoldchange,pval,pval_adj
loc101734526.L,16.637869,1.0001422862501888e-63,3.893763826777741e-61
mmp8.S,8.208414,1.2886651217199019e-63,4.955860318711842e-61
lima1.S,4.1763377,1.30744612686192e-63,4.967507663926585e-61
socs3.S,6.3069816,1.5109275263378228e-63,5.672273755126577e-61
col17a1.L,16.944855,3.217692359046546e-63,1.1937638652062685e-60
clca3p.like.L,4.518062,8.047007307534822e-63,2.9507252958501233e-60
itgav.L,3.746253,1.0131519464039461e-62,3.672384670097522e-60
Xelaev18043710m.g,19.07538,1.088433621962319e-62,3.900426621429742e-60
mmp8.L,14.077328,1.4022184897746172e-62,4.9684224803418605e-60
camk2d.L,3.9851193,1.7836032002103665e-62,6.249547435403767e-60
postn.S,14.747352,2.402329625075058e-62,8.324996123817796e-60
ereg.L,4.4540844,5.0686118314679695e-62,1.737376892449374e-59
abracl.L,8.413166,1.3540784073617043e-61,4.591490599586167e-59
jun.L,8.881118,1.1653625827668603e-60,3.893643206752115e-58
jun.S,10.507698,1.1729700480147485e-60,3.893643206752115e-58
wasf2.L,4.1910934,6.53380182044888e-60,2.1462858375818272e-57
junb.L,16.595068,1.3582850185275862e-59,4.415826604048189e-57
actn1.L,3.4192617,1.4908705024091782e-59,4.797408295252391e-57
rab11a.S,5.117645,2.087802784054037e-59,6.65038997930748e-57
hpgd.L,4.9300594,3.8753840018203546e-59,1.2100023217564838e-56
Xelaev18007840m.g,4.3374915,9.464465782771247e-59,2.9260973378401102e-56
cotl1.S,4.142892,4.307039883542634e-58,1.3186650750244366e-55
ctnnb1.S,4.7666216,6.453882886862281e-58,1.9569538157423274e-55
gpx7.L,3.498612,7.324316499349405e-58,2.199736388637938e-55
col4a6.like.L,4.381947,1.5785958107941989e-57,4.6963225371127414e-55
aplp2.S,3.0990453,1.7501877867369678e-57,5.15814690231311e-55
cap1.L,3.481858,3.530855972801375e-57,1.0309772509471422e-54
cfl1.L,20.319773,8.042852687692264e-57,2.3268932064805096e-54
ppia.S,38.591667,8.821110976827585e-57,2.5288521332205267e-54
cldn6.2.S,6.874273,1.8522631232223111e-56,5.262262846019422e-54
tfap2c.S,3.6078,2.0211516353747645e-56,5.690805073352071e-54
dcn.S,6.3755636,2.202140387530989e-56,6.145530718653959e-54
vwa2.S,4.6038113,2.778456689016709e-56,7.68584488492473e-54
Xelaev18045537m.g,11.780153,4.0562603382278063e-56,1.1122971284001207e-53
loc101735270.L,3.3556051,1.2616464310953856e-55,3.429829327982154e-53
